COD_TIPO_VIP_ADE|NOM_COMP_CLI_ADE|COD_TIPO_LOGR_UN_CONS_ADE|COD_LOGR_UN_CONS_ADE|NOM_LOGR_UN_CONS_ADE|NUM_IMVL_UN_CONS_ADE|DES_CPTO_ENDE_UN_CONS_ADE|NOM_BAIR_UN_CONS_ADE|COD_CEP_UN_CONS_ADE|NUM_FONE_PRIN_CLI_ADE|COD_EMAIL_CLI_ADE|NUM_FAX_PRIN_CLI_ADE|COD_LOC_ADE|COD_UN_CONS_ADE|NOVAUC|NUM_EQIP_ADE|COD_CLAS_PRIN_ADE|COD_CLAS_CONS_ADE|QTD_TENS_LIG_ADE|COD_SITU_UN_CONS_ADE|COD_TIPO_PROG_ESPC_ADE|COD_GRU_TENS_FAT_ADE|COD_SUB_GRU_FAT_ADE|COD_TIPO_TAR_FAT_ADE|STA_GER_CARGA_ADE|COD_TIPO_LOGR_CLI_ADE|NOM_LOGR_CLI_ADE|NUM_IMVL_CLI_ADE|DES_CPTO_ENDE_CLI_ADE|NOM_BAIR_CLI_ADE|COD_CEP_CLI_ADE|NOM_MUN_CLI_ADE|COD_UF_CLI_ADE|NOM_PAI_CLI_ADE|COD_CXPT_CLI_ADE|DTA_INC_ADE|NOM_USU_INC_ADE|STA_LEIT_REG_ADE|DTA_LIG_ADE|NUM_FONE_CEL_CLI_ADE|COD_ETAP_ADE|COD_LIVR_ADE|NUM_SEQ_LIVR_ADE|COD_AUX_ADE|DTA_PROGM_ADE|NUM_PSTE_ADE|COD_TIPO_FASE_ADE|COD_FASE_LIG_ADE|NUM_DISJ_ADE|COD_TIPO_RAMAL_LIG_ADE|NUM_CPMT_RAMAL_LIG_ADE|QTD_TENS_CONR_ADE|NUM_CLI_ADE|COD_TIPO_LOC_COM_ADE|COD_TIPO_LOC_TEC_ADE|COD_SUB_GRU_ORIG_ADE|NUM_EQIP_REAT_ADE|NUM_EQIP_DEM_ADE|COD_TIPO_CORT_TEC_ADE|COD_MOTI_DESL_ADE|DTA_DESL_UN_CONS_ADE|DTA_RLIG_UN_CONS_ADE|COD_AREA_DDD_ADE|NUM_RAMAL_FONE_ADE|COD_TIPO_TRIB_ADE|COD_TIPO_GER_ADE|NUM_COORX_PSTE_ADE|NUM_COORY_PSTE_ADE|COD_POST_TRA_ADE|COD_FORM_DESL_ADE|DES_PTO_REF_UN_CONS_ADE|COD_CLAS_ATIV_ECON_TRAT_ADE|DES_CPTO_ENDE_TRAT_ADE|DES_PTO_REF_TRAT_ADE|COD_CLAS_PRIN_TRAT_ADE|COD_TIPO_FASE_TRAT_ADE|COD_CONJ_UN_CONS_ADE|NUM_SEQ_OPER_MAT_ADE|STA_RAMAL_SERV_ADE|STA_SITU_RAMAL_SERV_ADE|COD_EMAIL_CONT_ADE|COD_TIPO_VIP_UC_ADE|COD_TIPO_VIP_CLI_ADE|VAL_ENC_USO_SIS_DISTR_UC|DATA_REF_ENC_USO_UC|COD_TIPO_IMOV_UC|EMAIL_UC|IDENT_CELU_UC|COORD_X_UC|COORD_Y_UC|VAL_BASE_CALC_COMPEN_UC|VAL_PTO_CLI_UC|NUM_TRECHO_LOG_SEGM_UC|DATA_ULT_FISCAL_UC|DATA_INIC_CONS_UC
|||AV HOMOLOG -> CAP TELMO RIBEIRO||967|ALMOX PVI  PARANAVAI||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|07-03-1990 12:00:00||CYCLE015|018997|24||||TR              |ABCN            |||||0063555000|UB|UB|B3              ||||||07-03-1990 12:00:00|||||||||||ALMOX PVI  PARANAVAI||8|TR              |||||cadastro.digital@copel.com|||279.97||967|cadastro.digital@copel.com|41988474924|-52.475411|-23.089769|279.97|B |||21-09-2013 12:00:00
|||R HOMOLOG -> CONSTANTINO VIECELI||NA|OFI CPO  OFICINA SANTOS DUM||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|23-09-1981 12:00:00||CYCLE01|026225|146||||TR              |ABCN            |||||0847655000|UB|UB|B3              |||||01-12-2022 12:00:00|01-12-2022 12:00:00|||||||||||OFI CPO  OFICINA SANTOS DUM||8|TR              |||||cadastro.digital@copel.com|||66.58||NA|cadastro.digital@copel.com|41988474924|-50.640071|-23.191912|66.58|B |||27-09-2013 12:00:00
|||AV HOMOLOG -> CAP TELMO RIBEIRO||967|POLO PVI  PARANAVAI||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|07-03-1990 12:00:00||CYCLE015|018997|21||||TR              |ABCN            |||||2063555000|UB|UB|B3              ||||||07-03-1990 12:00:00|||||||||||POLO PVI  PARANAVAI||8|TR              |||||cadastro.digital@copel.com|||326.51||967|cadastro.digital@copel.com|41988474924|-52.475684|-23.090767|326.51|B |||21-09-2013 12:00:00
|||EST HOMOLOG -> GRAMADOS||NA|SE PME 34 5 PALMEIRINHA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|21-09-1990 12:00:00||CYCLE09|030370|4||||TR              |ABCN            |||||2947655000|UB|UB|B3              |||||||||||||||||SE PME 34 5 PALMEIRINHA||8|TR              |||||testesappcopel@gmail.com|||67.55||NA|testesappcopel@gmail.com|41988474924|0|0|67.55|B |||13-09-2013 12:00:00
|||R HOMOLOG -> ISABEL REDENTORA||1986|UAP SJPFECHADO  SAO JOSE DOS PINHAIS||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|30-04-1997 12:00:00||CYCLE016|020197|176||||TR              |ABCN            |||||5505555000|UB|UB|B3              ||||||27-07-2005 12:00:00|||||||||||UAP SJPFECHADO  SAO JOSE DOS PINHAIS||8|TR              |||||testesappcopel@gmail.com|||310.51||1986|testesappcopel@gmail.com|41988474924|-49.199672|-25.539717|310.51|B |||24-09-2013 12:00:00
|||AV HOMOLOG -> CONTINENTAL||2580|SE PDO 34 5 PATO BRAGADO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|01-10-1974 12:00:00||CYCLE090|032053|1||||TR              |ABCN            |||||5904555000|UB|UB|B3              |||||||||||||||||SE PDO 34 5 PATO BRAGADO||8|TR              |||||cadastro.digital@copel.com|||69.4||2580|cadastro.digital@copel.com|41988474924|0|0|69.4|B |||01-10-2013 12:00:00
|||R HOMOLOG -> MONTE SANTO DE MINAS||NA|SE SJI 34 5 SAO JOAO DO IVAI||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|16-08-1983 12:00:00||CYCLE07|009879|196||||TR              |ABCN            |||||6055555000|RR|RR|B3              |||||||||||||||||SE SJI 34 5 SAO JOAO DO IVAI||8|TR              |||||cadastro.digital@copel.com|||171.1||NA|cadastro.digital@copel.com|41988474924|0|0|171.1|B |||10-09-2013 12:00:00
|||AV HOMOLOG -> PARANA||336|SE BNA 34 5 ASSIS CHATEAUBRIAND||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|04-07-1975 12:00:00||CYCLE090|032022|1||||BI              |ABN             |||||7106655000|UB|UB|B3              |||||||||||||||||SE BNA 34 5 ASSIS CHATEAUBRIAND||8|BI              |||||testesappcopel@gmail.com|||34.69||336|testesappcopel@gmail.com|41988474924|0|0|34.69|B |||01-10-2013 12:00:00
|||POV HOMOLOG -> MORRO DOS PERDIDOS||NA|NA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|30-10-2024 04:31:00||CYCLE016|038260|198||||BI              |ABN             |||||7515655000|UB|UB|B3              ||||||30-10-2024 04:31:01|||||||||||NA||8|BI              |||||testesappcopel@gmail.com|||0||NA|testesappcopel@gmail.com|41988474924|0|0|0|B |||30-10-2024 12:00:00
|||LIN HOMOLOG -> SANTA CRUZ||NA|REP PRA  PRANCHITA||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|01-06-1987 12:00:00||CYCLE027|008134|73||||TR              |ABCN            |||||8206655000|RR|RR|B3              |||||06-05-2022 11:31:00|06-05-2022 11:31:01|||||||||||REP PRA  PRANCHITA||8|TR              |||||testesappcopel@gmail.com|||777.4||NA|testesappcopel@gmail.com|41988474924|-53.696391|-26.004096|777.4|B |||09-10-2021 12:00:00
